0,1,2,3,4,5,6,7,8
Start Date,1989-12-31 00:00:00,,,,,,,
End Date,,,,,,,,
,Industrial production,CFNAI Index,Manufacturing ISM,Manufacturing ISM - Price Paid,Service ISM,Service ISM - Price Paid,US Retail Sales,Richmond Fed Index
,IP Index,CFNAI Index,NAPMPMI Index,NAPMPMI Index,NAPMNMI Index,NAPMNPRC Index,MTSLRRT$ Index,RCHSINDX Index
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2006-08-31 00:00:00,99.4836,0.18,53.7,53.7,54.5,60.6,346838,3
2006-09-30 00:00:00,99.3183,0,52.2,52.2,54.9,56.5,349889,-2
2006-10-31 00:00:00,99.2044,-0.27,51.4,51.4,54.5,56.7,351430,3
2006-11-30 00:00:00,99.1627,-0.11,50.3,50.3,53.7,60.5,352825,-4
2006-12-31 00:00:00,100.1735,0.77,51.4,51.4,55.4,57.5,353222,-8
2007-01-31 00:00:00,99.8346,-0.48,50.4,50.4,54.2,57,352649,-5
2007-02-28 00:00:00,100.7753,0.2,54.1,54.1,52.1,64.2,353088,-12
2007-03-31 00:00:00,100.9547,0.24,52.8,52.8,53.4,63.2,350970,-9
2007-04-30 00:00:00,101.6334,-0.09,52.7,52.7,54.3,62.8,354178,-11
2007-05-31 00:00:00,101.7306,0.05,53.1,53.1,54.9,61.6,350405,-4
2007-06-30 00:00:00,101.7893,-0.02,54,54,53.6,59.7,351291,1
2007-07-31 00:00:00,101.6672,-0.39,51.8,51.8,52.7,60,354163,1
2007-08-31 00:00:00,101.863,-0.07,52.2,52.2,52.6,66.7,353821,3
2007-09-30 00:00:00,102.0894,-0.08,53.8,53.8,53.6,66.2,355112,4
2007-10-31 00:00:00,101.8015,-0.27,52.8,52.8,52.8,75.3,355085,-2
2007-11-30 00:00:00,102.3446,-0.08,51.5,51.5,52.5,72,349142,-2
2007-12-31 00:00:00,102.3803,-0.44,50.1,50.1,44.8,71.6,349566,-1
2008-01-31 00:00:00,102.2448,-0.23,50.9,50.9,49.9,71.7,346143,-11
2008-02-29 00:00:00,101.8438,-0.79,48.8,48.8,49.4,72.7,346003,-6
2008-03-31 00:00:00,101.5336,-0.79,49.7,49.7,51.9,71.9,345433,-10
