Date,Industrial production,CFNAI Index,Manufacturing ISM,Manufacturing ISM - Price Paid,Service ISM,Service ISM - Price Paid,US Retail Sales,Industrial production_growth,US Retail Sales_growth,CFNAI Index_chg,Manufacturing ISM_chg,Manufacturing ISM - Price Paid_chg,Service ISM_chg,Service ISM - Price Paid_chg
2009-07-31,85.7027,0.14,49.7,49.7,48.9,60.8,323564.0,1.1226962849123383,1.5190638541844217,1.07,3.4000000000000057,3.4000000000000057,1.7999999999999972,19.299999999999997
2009-08-31,86.6426,0.0,53.4,53.4,50.1,49.6,314267.0,1.0907281117748377,-2.9153987477238252,-0.14,3.6999999999999957,3.6999999999999957,1.2000000000000028,-11.199999999999996
2009-09-30,87.4063,-0.21,54.9,54.9,51.0,53.5,316561.0,0.8775750967465086,0.7273012967338969,-0.21,1.5,1.5,0.8999999999999986,3.8999999999999986
2009-10-31,87.6419,-0.29,57.6,57.6,49.5,58.9,317459.0,0.2691831647081177,0.2832720104997633,-0.07999999999999999,2.700000000000003,2.700000000000003,-1.5,5.399999999999999
2009-11-30,88.0221,0.06,55.4,55.4,49.7,58.9,318902.0,0.4328725221761207,0.4535169418844099,0.35,-2.200000000000003,-2.200000000000003,0.20000000000000284,0.0
2009-12-31,88.3793,-0.28,55.8,55.8,50.0,59.4,317831.0,0.40498600148736036,-0.3364050583297732,-0.34,0.3999999999999986,0.3999999999999986,0.29999999999999716,0.5
2010-01-31,89.3426,0.16,56.3,56.3,51.7,58.7,318365.0,1.0840638479048323,0.16787283334277214,0.44000000000000006,0.5,0.5,1.7000000000000028,-0.6999999999999957
2010-02-28,89.6779,-0.35,55.5,55.5,53.3,60.9,326527.0,0.3745944091096664,2.5314117245143652,-0.51,-0.7999999999999972,-0.7999999999999972,1.5999999999999943,2.1999999999999957
2010-03-31,90.2928,0.48,58.8,58.8,55.3,63.8,329607.0,0.6833361127325353,0.9388395123772286,0.83,3.299999999999997,3.299999999999997,2.0,2.8999999999999986
2010-04-30,90.5991,0.4,58.1,58.1,55.5,60.8,326766.0,0.3386556200030132,-0.8656717268162535,-0.07999999999999996,-0.6999999999999957,-0.6999999999999957,0.20000000000000284,-3.0
2010-05-31,91.823,0.3,57.4,57.4,54.4,56.7,327146.0,1.3418531682922519,0.11622360280132409,-0.10000000000000003,-0.7000000000000028,-0.7000000000000028,-1.1000000000000014,-4.099999999999994
2010-06-30,91.9928,-0.17,56.5,56.5,54.6,56.1,327014.0,0.1847502209251882,-0.04035709972837149,-0.47,-0.8999999999999986,-0.8999999999999986,0.20000000000000284,-0.6000000000000014
2010-07-31,92.3421,0.15,56.1,56.1,52.4,59.2,328128.0,0.3789845743598986,0.34007927247942293,0.32,-0.3999999999999986,-0.3999999999999986,-2.200000000000003,3.1000000000000014
2010-08-31,92.6805,-0.16,56.4,56.4,53.3,59.5,330100.0,0.36579355962980564,0.5991862697912023,-0.31,0.29999999999999716,0.29999999999999716,0.8999999999999986,0.29999999999999716
2010-09-30,92.9537,-0.19,55.3,55.3,55.3,68.2,332615.0,0.2943425265869447,0.7590026101020911,-0.03,-1.1000000000000014,-1.1000000000000014,2.0,8.700000000000003
2010-10-31,92.6903,-0.12,56.9,56.9,56.4,65.6,335557.0,-0.2837691245094572,0.8806172699024173,0.07,1.6000000000000014,1.6000000000000014,1.1000000000000014,-2.6000000000000085
