Date,US GDP,GDP - Personal Consumption,GDP - Goods Consumption,GDP - Durable Goods Consumption,GDP - Non durable Goods,GDP - Service,GDP - Investment,US GDP_growth,GDP - Personal Consumption_growth,GDP - Goods Consumption_growth,GDP - Durable Goods Consumption_growth,GDP - Non durable Goods_growth,GDP - Service_growth,GDP - Investment_growth
1997-03-31,12115.5,7747.9,2238.8,515.0,1832.7,5109.4,1823.3,0.6433925636250473,1.048339150205124,1.3354815269065532,2.6762714939543226,0.5965266013121475,0.8846309828010835,1.999789673022256
1997-06-30,12317.2,7782.8,2237.0,513.3,1833.5,5148.1,1935.2,1.6511034979417372,0.44943317101555497,-0.08043255270749664,-0.3306431097478699,0.04364191875497839,0.7545734072670292,5.956263425065857
1997-09-30,12471.0,7915.4,2295.3,536.2,1862.8,5209.5,1962.1,1.2409289390869118,1.6894058396090987,2.572787141578637,4.364675623560152,1.5854023596841416,1.1856167305459226,1.3804647930238243
1997-12-31,12577.5,8010.0,2326.6,549.9,1875.9,5266.7,1990.9,0.8503554444726443,1.1880532069092806,1.3544420476750059,2.5229217711909957,0.7007812133139861,1.0920098588605387,1.4571469559695005
1998-03-31,12703.7,8091.0,2344.1,554.3,1889.3,5327.5,2078.2,0.998378623304224,1.006157174543484,0.7493558520276042,0.7969612911989924,0.7117845837910185,1.147810453192848,4.291533663279551
1998-06-30,12821.3,8233.5,2405.1,582.3,1912.3,5396.4,2065.3,0.9214560791263606,1.7458864850213913,2.5689949814073545,4.92797224173152,1.2100315989656318,1.284997959188982,-0.6226640124941997
1998-09-30,12982.8,8340.8,2441.2,598.9,1926.2,5460.7,2119.0,1.2517554091748486,1.2947937355787833,1.4898238953324168,2.810886042734244,0.7242444057835511,1.1844922084918692,2.5668784974694687
1998-12-31,13191.7,8461.3,2515.4,634.2,1952.5,5491.2,2183.4,1.5962439444140208,1.4343691083878451,2.994211494271542,5.726972283383037,1.3561452587077145,0.5569824204007613,2.993901557787013
1999-03-31,13315.6,8548.2,2546.5,635.6,1988.7,5536.3,2243.5,0.9348436267300001,1.0217908353521101,1.2288030711604183,0.22050725583139755,1.8370556201614558,0.8179596727096564,2.7153851569868888
1999-06-30,13426.7,8679.1,2606.6,666.0,2007.6,5588.7,2244.7,0.8308981589987394,1.5197102191379435,2.3326822771960085,4.6720235877828244,0.945881986532287,0.9420294383087607,0.05347355414616477
1999-09-30,13604.8,8776.7,2637.4,682.0,2016.8,5650.1,2306.5,1.317740984857226,1.1182646121520468,1.1746893276979344,2.373998730307287,0.45721180929315064,1.0926542135130841,2.715934204037546
1999-12-31,13828.0,8905.1,2682.7,690.1,2058.0,5724.8,2368.0,1.6272850409987187,1.4523663542835499,1.7030166667932833,1.1806856783094124,2.0222540520284817,1.3134370215496678,2.6314493006020996
2000-03-31,13878.1,9039.7,2722.9,728.6,2039.9,5814.1,2351.2,0.36165360412474884,1.5001841687875943,1.487373875662953,5.428836994790736,-0.8833850365076161,1.5478387518906436,-0.7119880899188826
2000-06-30,14130.9,9124.2,2737.1,715.2,2080.4,5885.0,2490.5,1.805183083493276,0.9304236379616242,0.5201476928753551,-1.856266071515899,1.9659395869998608,1.2120738861070737,5.755765740863061
2000-09-30,14145.3,9211.6,2765.6,727.3,2094.1,5940.7,2466.4,0.10185245008077122,0.9533334999392773,1.0358643880500202,1.6776823301190495,0.6563683883189136,0.9420230836968165,-0.9723895941397399
2000-12-31,14229.8,9292.1,2789.6,732.4,2114.2,5991.3,2471.5,0.5955943752851426,0.870101740428912,0.8640606754026652,0.6987765639860654,0.9552623552456132,0.8481445411532031,0.20656561750732946
