window,target,model,n_obs,n_regressors,r_squared,adj_r_squared,aic,bic,rmse,mae,regressors
FOCUS,GDP - Personal Consumption_growth,M4_interaction,44,4,0.1099119184149202,0.018620833124142755,49.71673853798586,58.63768670757717,0.37998938574212704,0.30382431122154346,oil_pos | oil_large_shock | oil_pos_x_large | GDP - Personal Consumption_growth_lag1
FOCUS,GDP - Personal Consumption_growth,M1_baseline,44,2,0.047378425651889544,0.000909080561737774,48.704220180824635,54.056789082579414,0.3931109844198746,0.317517325758692,oil_pos | GDP - Personal Consumption_growth_lag1
FOCUS,GDP - Personal Consumption_growth,M3_oil_lags,44,4,0.07225006695233849,-0.02290377233460128,51.540177820356234,60.46112598994754,0.3879452498408027,0.31457558286432447,oil_pos | oil_pos_lag1 | oil_pos_lag2 | GDP - Personal Consumption_growth_lag1
FOCUS,GDP - Service_growth,M1_baseline,44,2,0.17749298558411175,0.13737069219797082,18.803097955172547,24.15566685692733,0.2798647624574603,0.23354640349433123,oil_pos | GDP - Service_growth_lag1
FOCUS,GDP - Service_growth,M2_large_shock,44,3,0.18746622056710527,0.12652618710963826,20.266318954522447,27.403077490195493,0.2781628500968789,0.2323807719719695,oil_pos | oil_large_shock | GDP - Service_growth_lag1
FOCUS,GDP - Service_growth,M3_oil_lags,44,4,0.19307059185374653,0.11030860127464359,21.961781842587015,30.88273001217832,0.2772018898401789,0.23065765204630928,oil_pos | oil_pos_lag1 | oil_pos_lag2 | GDP - Service_growth_lag1
FOCUS,GDP - Service_growth,M4_interaction,44,4,0.18975238101631264,0.10665006112054976,22.14234523087636,31.063293400467664,0.27777125231631616,0.23219467312879846,oil_pos | oil_large_shock | oil_pos_x_large | GDP - Service_growth_lag1
FOCUS,GDP - Service_growth,M5_full,44,6,0.20312006571425645,0.07389629258683861,25.41036637775288,37.89969381518071,0.27547034993757735,0.22909642779447426,oil_pos | oil_large_shock | oil_pos_lag1 | oil_pos_lag2 | oil_pos_x_large | GDP - Service_growth_lag1
FOCUS,US GDP_growth,M1_baseline,44,2,0.09781818180401869,0.0538093126237269,64.58254008495001,69.93510898670479,0.47084428231714026,0.379845741418133,oil_pos | US GDP_growth_lag1
FOCUS,US GDP_growth,M4_interaction,44,4,0.12837074491116018,0.038972872594356,67.06665627765142,75.98760444724272,0.4628029993636675,0.376781522556875,oil_pos | oil_large_shock | oil_pos_x_large | US GDP_growth_lag1
FOCUS,US GDP_growth,M2_large_shock,44,3,0.10598065017153702,0.03892919893440239,66.18263935355236,73.3193978892254,0.4687094664947275,0.3823202411486821,oil_pos | oil_large_shock | US GDP_growth_lag1
FOCUS,US GDP_growth,M3_oil_lags,44,4,0.1021657058301314,0.010080137197324257,68.36999595514663,77.29094412473793,0.46970843651045907,0.3778210810446007,oil_pos | oil_pos_lag1 | oil_pos_lag2 | US GDP_growth_lag1
FOCUS,US GDP_growth,M5_full,44,6,0.13082024308016904,-0.010127825609533181,70.94283110231714,83.43215853974498,0.4621522452361585,0.3766507180986389,oil_pos | oil_large_shock | oil_pos_lag1 | oil_pos_lag2 | oil_pos_x_large | US GDP_growth_lag1
