target_volatility,model,variable,coef,std_err,t_stat,p_value
hy_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,oil_pos_ma5_lag1,-0.0008581608296385999,0.0025559724798770657,-0.33574728851535784,0.7370614425658013
hy_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,spx_vol_abs,0.008021869391172517,0.002181398328200571,3.6773977899715975,0.00023562544165698092
hy_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,us10y_vol_abs,0.15169734564584372,0.05120020513362377,2.9628269115316943,0.0030482792685587075
hy_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,gold_vol_abs,0.0018559164794854535,0.0016016719101106342,1.1587369846283047,0.24656341043201047
hy_vol_abs_t1,vol_abs_har_soft_bigshock_t1,const,0.015945809233741757,0.002250418441337958,7.08570856905233,1.383346529250838e-12
hy_vol_abs_t1,vol_abs_har_soft_bigshock_t1,hy_vol_abs_lag1,0.12865487548381976,0.03618527303338961,3.5554485208693807,0.00037733482487569076
hy_vol_abs_t1,vol_abs_har_soft_bigshock_t1,hy_vol_abs_week,0.2090946150159214,0.05853202740666045,3.572311165017465,0.0003538446191271275
hy_vol_abs_t1,vol_abs_har_soft_bigshock_t1,hy_vol_abs_month,0.3409221653569936,0.06947816026987995,4.906896844025813,9.252866619569228e-07
hy_vol_abs_t1,vol_abs_har_soft_bigshock_t1,oil_pos_lag1,-0.00251688007190699,0.0017364341544566393,-1.4494532173577095,0.14721105609905707
hy_vol_abs_t1,vol_abs_har_soft_bigshock_t1,oil_large_pos_lag1,0.007313353810307614,0.006698602282594564,1.0917731045639776,0.2749328434739914
hy_vol_abs_t1,vol_abs_har_soft_bigshock_t1,oil_pos_x_large_lag1,-0.001347411758496141,0.0022030492482110267,-0.611612182337866,0.5407943760723928
hy_vol_abs_t1,vol_sq_ar1_oil_t1,const,0.04091171469383882,0.001829158291301397,22.36641568332024,8.35891884951938e-111
hy_vol_abs_t1,vol_sq_ar1_oil_t1,hy_vol_sq_lag1,0.9348396763145614,0.12358849236621203,7.564132051586853,3.904629233063988e-14
hy_vol_abs_t1,vol_sq_ar1_oil_t1,oil_pos_lag1,-0.0010413254630845148,0.0009999581490991649,-1.0413690453171631,0.2977043031989868
